lat,lon,v
19.75,-0.75,17.51024721097201
19.75,-0.25,14.682443133940978
19.75,0.25,8.04062511981465
19.75,0.75,49.08907242375426
19.75,1.25,51.417831619110075
19.75,1.75,43.976033563754754
19.75,2.25,3.206630009924993
19.75,2.75,30.234803636267316
19.75,3.25,2.5653041277546436
19.75,-104.75,0.13852814265659877
19.75,-103.25,0.13852814265659877
19.75,-100.75,1.0340136119297572
19.75,-99.75,0.41558442796979633
19.75,-99.25,0.13061224562781198
19.75,-98.75,0.33009277071271625
19.75,-96.75,0.27705628531319754
19.25,3.75,3.0246863729553297
19.25,4.25,7.05760163674131
19.25,-0.75,20.6407023805441
19.25,-0.25,38.950871578803344
19.25,0.25,4.508761539473198
19.25,0.75,29.973530195857165
19.25,1.25,114.48098299524281
19.25,1.75,22.907086537539726
19.25,2.25,57.97315672971308
19.25,2.75,29.08936211053515
19.25,3.25,20.599082047585398
19.25,-104.75,1.1755102702549525
19.25,-104.25,0.5224489825112479
19.25,-103.75,1.1755102702549525
19.25,-102.25,0.3918367453983852
19.25,-101.75,1.0448979650224959
19.25,-100.25,0.06095238242830549
19.25,-98.75,0.5532302175249372
19.25,-97.25,0.029117379869733537
19.25,-96.75,0.10884353944233485
18.75,122.25,0.2164285665910159
18.75,4.75,3.0246863729553297
18.75,5.25,4.537029709201306
18.75,5.75,1.5123431864776649
18.75,16.25,6.746461934664032
18.75,17.25,2.4163797944784164
18.75,17.75,1.5309617641297255
18.75,18.75,0.25256750969724223
18.75,23.25,0.06394453016533093
18.75,-1.25,3.4215424448484555
18.75,-0.75,11.666078206631937
18.75,-0.25,327.1791500451509
18.75,0.25,30.089741119969403
18.75,0.75,192.96655796465348
18.75,1.25,149.59250839415472
18.75,1.75,96.10250725952938
18.75,2.25,58.41595572885126
18.75,2.75,88.48993725358741
18.75,3.25,9.027819575479953
18.75,-73.25,0.1645134650170803
18.75,-102.75,1.9393939971923828
18.75,-100.75,0.06095238242830549
18.75,-99.75,0.13852814265659877
18.75,-97.75,0.2329390389578683
18.25,122.25,0.1923809570393392
18.25,3.75,16.305567225906998
18.25,4.25,2.0164576318929903
18.25,4.75,0.5041144079732476
18.25,16.25,1.1318182267925956
18.25,17.25,9.326167704198848
18.25,17.75,1.5309617641297255
18.25,19.25,0.4868035045537082
18.25,23.25,0.06394453016533093
18.25,-1.25,1.9239780958159827
18.25,-0.75,20.391252755187452
18.25,-0.25,69.75737412746821
18.25,0.25,11.502152259170543
18.25,0.75,89.48788307086943
18.25,1.25,503.4460336344782
18.25,1.75,69.89446466375375
18.25,2.25,112.9776470247889
18.25,2.75,98.01062764314702
18.25,-72.75,0.021621622145175934
18.25,-88.25,0.1910241705111482
18.25,-87.75,0.30589679222215305
18.25,-102.75,0.2721088443483625
18.25,-102.25,0.2176870788846697
17.75,122.25,0.41987907354320797
17.75,4.25,12.434822587529197
17.75,4.75,29.74275018274784
17.75,7.25,9.746212411671877
17.75,18.25,6.8992051631212234
17.75,19.25,0.32453567907214165
17.75,21.25,1.5309617641297255
17.75,-1.25,34.4214664058527
17.75,-0.75,16.54297239004518
17.75,-0.25,115.84653722993244
17.75,0.75,47.63545417851128
17.75,1.25,200.92963013227563
17.75,1.75,104.0900504647143
17.75,2.25,115.13002763665281
17.75,2.75,16.52379291030229
17.75,-95.25,0.2329390389578683
17.75,-92.75,0.3679653690619902
17.75,-88.25,1.0528541749173945
17.75,-87.75,0.10196560443463651
17.75,-102.25,0.6838424631527492
17.75,-99.25,0.13852814265659877
17.25,122.25,0.577142844242709
17.25,122.75,0.41987907354320797
17.25,7.25,1.8254809438658413
17.25,17.75,3.772727272727273
17.25,18.75,0.12575758231634443
17.25,19.75,2.263636453585191
17.25,20.25,0.12628375484862112
17.25,-1.25,5.545258600031957
17.25,-0.75,0.9619890479079913
17.25,-0.25,5.541409048957576
17.25,0.25,9.299227088689804
17.25,0.75,37.46299302729312
17.25,1.25,19.468642083498708
17.25,1.75,64.94909090432338
17.25,2.25,41.84993489427143
17.25,2.75,67.06900593976025
17.25,3.25,3.8479561916319653
